"","ID","x","y","BIOME.Name"
"72",72,98.9166666666666,26.25,"Tropical & Subtropical Moist Broadleaf Forests"
"73",73,-48.0833333333333,-3.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"74",74,101.916666666667,3.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"75",75,144.083333333333,-7.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"76",76,139.583333333333,-3.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"77",77,35.5833333333333,-8.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"78",78,-66.25,-7.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"79",79,111.25,-1.41666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"80",80,106.083333333333,23.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"81",81,24.9166666666667,-2.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"82",82,19.25,-0.75,"Tropical & Subtropical Moist Broadleaf Forests"
"83",83,115.25,0.916666666666671,"Tropical & Subtropical Moist Broadleaf Forests"
"84",84,105.083333333333,12.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"85",85,-35.9166666666667,-9.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"86",86,82.25,28.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"87",87,-50.25,-29.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"88",88,105.416666666667,21.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"89",89,-13.0833333333333,9.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"90",90,-47.9166666666667,-5.41666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"91",91,119.916666666667,-2.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"92",92,19.9166666666667,-1.41666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"93",93,-56.4166666666667,-7.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"94",94,-63.4166666666667,1.25,"Tropical & Subtropical Moist Broadleaf Forests"
"95",95,-65.5833333333333,1.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"96",96,82.25,18.25,"Tropical & Subtropical Moist Broadleaf Forests"
"97",97,75.25,12.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"98",98,81.5833333333333,28.4166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"99",99,135.083333333333,-3.58333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"100",100,-70.0833333333333,1.25,"Tropical & Subtropical Moist Broadleaf Forests"
"101",101,105.083333333333,20.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"102",102,118.416666666667,5.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"103",103,-76.5833333333333,-7.75,"Tropical & Subtropical Moist Broadleaf Forests"
"104",104,95.9166666666666,26.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"105",105,48.25,-17.0833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"106",106,25.4166666666667,2.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"107",107,-50.25,-21.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"108",108,-66.75,-3.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"109",109,-76.25,-6.75,"Tropical & Subtropical Moist Broadleaf Forests"
"110",110,23.9166666666667,2.41666666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"111",111,-53.75,0.583333333333343,"Tropical & Subtropical Moist Broadleaf Forests"
"112",112,-72.5833333333333,-0.583333333333329,"Tropical & Subtropical Moist Broadleaf Forests"
"113",113,-71.9166666666667,-4.25,"Tropical & Subtropical Moist Broadleaf Forests"
"114",114,-74.75,8.25,"Tropical & Subtropical Moist Broadleaf Forests"
"115",115,121.25,23.25,"Tropical & Subtropical Moist Broadleaf Forests"
"116",116,22.5833333333333,1.75,"Tropical & Subtropical Moist Broadleaf Forests"
"117",117,12.5833333333333,7.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"118",118,-57.9166666666667,1.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"119",119,102.583333333333,21.25,"Tropical & Subtropical Moist Broadleaf Forests"
"120",120,-76.0833333333333,-6.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"121",121,116.416666666667,3.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"122",122,148.25,-9.75,"Tropical & Subtropical Moist Broadleaf Forests"
"123",123,-51.75,-23.9166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"124",124,140.916666666667,-7.91666666666666,"Tropical & Subtropical Moist Broadleaf Forests"
"125",125,93.4166666666666,26.4166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"126",126,88.75,25.5833333333333,"Tropical & Subtropical Moist Broadleaf Forests"
"127",127,116.083333333333,-0.583333333333329,"Tropical & Subtropical Moist Broadleaf Forests"
"128",128,82.0833333333333,25.4166666666667,"Tropical & Subtropical Moist Broadleaf Forests"
"129",129,-9.91666666666669,5.75,"Tropical & Subtropical Moist Broadleaf Forests"
"130",130,97.25,3.58333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"131",131,-72.25,2.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"132",132,23.25,4.75,"Tropical & Subtropical Moist Broadleaf Forests"
"133",133,143.916666666667,-6.25,"Tropical & Subtropical Moist Broadleaf Forests"
"134",134,-65.0833333333333,1.08333333333334,"Tropical & Subtropical Moist Broadleaf Forests"
"135",135,-55.25,5.75,"Tropical & Subtropical Moist Broadleaf Forests"
"136",136,-44.75,-4.08333333333333,"Tropical & Subtropical Moist Broadleaf Forests"
